tahun_ajaran,indikator,tingkat,jenis_universitas,jumlah_laki_laki,jumlah_perempuan
2012/2013,Mahasiswa Baru  ,Diploma (SO),Perguruan Tinggi Negeri ,597.0,832.0
2012/2013,Mahasiswa Baru  ,Diploma (SO),Perguruan Tinggi Swasta ,10619.0,10157.0
2012/2013,Mahasiswa Baru  ,S-1,Perguruan Tinggi Negeri ,67193.0,74466.0
2012/2013,Mahasiswa Baru  ,S-1,Perguruan Tinggi Swasta ,45214.0,40001.0
2012/2013,Mahasiswa Terdaftar ,Diploma (SO),Perguruan Tinggi Negeri ,18777.0,27892.0
2012/2013,Mahasiswa Terdaftar ,Diploma (SO),Perguruan Tinggi Swasta ,53093.0,50785.0
2012/2013,Mahasiswa Terdaftar ,S-1,Perguruan Tinggi Negeri ,1152377.0,353637.0
2012/2013,Mahasiswa Terdaftar ,S-1,Perguruan Tinggi Swasta ,226567.0,200006.0
2012/2013,Lulusan ,Diploma (SO),Perguruan Tinggi Negeri ,411.0,574.0
2012/2013,Lulusan ,Diploma (SO),Perguruan Tinggi Swasta ,6842.0,6544.0
2012/2013,Lulusan ,S-1,Perguruan Tinggi Negeri ,73582.0,70790.0
2012/2013,Lulusan ,S-1,Perguruan Tinggi Swasta ,29196.0,25773.0
2012/2013,Mahasiswa Baru  ,S-2,Perguruan Tinggi Negeri ,1482.0,1680.0
2012/2013,Mahasiswa Baru  ,S-2,Perguruan Tinggi Swasta ,5367.0,2952.0
2012/2013,Mahasiswa Baru  ,S-3,Perguruan Tinggi Negeri ,164.0,137.0
2012/2013,Mahasiswa Baru  ,S-3,Perguruan Tinggi Swasta ,165.0,55.0
2012/2013,Mahasiswa Terdaftar ,S-2,Perguruan Tinggi Negeri ,6842.0,7232.0
2012/2013,Mahasiswa Terdaftar ,S-2,Perguruan Tinggi Swasta ,26834.0,14763.0
2012/2013,Mahasiswa Terdaftar ,S-3,Perguruan Tinggi Negeri ,658.0,547.0
2012/2013,Mahasiswa Terdaftar ,S-3,Perguruan Tinggi Swasta ,822.0,277.0
2012/2013,Lulusan ,S-2,Perguruan Tinggi Negeri ,1022.0,1160.0
2012/2013,Lulusan ,S-2,Perguruan Tinggi Swasta ,3458.0,1902.0
2012/2013,Lulusan ,S-3,Perguruan Tinggi Negeri ,114.0,94.0
2012/2013,Lulusan ,S-3,Perguruan Tinggi Swasta ,106.0,36.0
2012/2013,Mahasiswa Baru  ,Spesialis-1 (Sp-1),Perguruan Tinggi Negeri ,0.0,0.0
2012/2013,Mahasiswa Baru  ,Spesialis-1 (Sp-1),Perguruan Tinggi Swasta ,0.0,0.0
2012/2013,Mahasiswa Baru  ,Profesi,Perguruan Tinggi Negeri ,65.0,155.0
2012/2013,Mahasiswa Baru  ,Profesi,Perguruan Tinggi Swasta ,447.0,945.0
2012/2013,Mahasiswa Terdaftar ,Spesialis-1 (Sp-1),Perguruan Tinggi Negeri ,0.0,0.0
2012/2013,Mahasiswa Terdaftar ,Spesialis-1 (Sp-1),Perguruan Tinggi Swasta ,0.0,0.0
2012/2013,Mahasiswa Terdaftar ,Profesi,Perguruan Tinggi Negeri ,261.0,619.0
2012/2013,Mahasiswa Terdaftar ,Profesi,Perguruan Tinggi Swasta ,2236.0,4726.0
2012/2013,Lulusan ,Spesialis-1 (Sp-1),Perguruan Tinggi Negeri ,0.0,0.0
2012/2013,Lulusan ,Spesialis-1 (Sp-1),Perguruan Tinggi Swasta ,0.0,0.0
2012/2013,Lulusan ,Profesi,Perguruan Tinggi Negeri ,45.0,107.0
2012/2013,Lulusan ,Profesi,Perguruan Tinggi Swasta ,288.0,609.0
